length,t_opt,t_baseline,t_opt_a,t_baseline_a
64,0.026045,0.033688,0.000406953125,0.000526375
256,0.021163,0.034361,8.266796875e-05,0.00013422265625
1024,0.02064,0.061021,2.015625e-05,5.95908203125e-05
4096,0.021477,0.210295,5.243408203125e-06,5.1341552734375e-05
16384,0.020042,0.540497,1.2232666015625e-06,3.298931884765625e-05
65536,0.026434,2.487885,4.03350830078125e-07,3.796211242675781e-05
1,0.020077,0.026094,0.020077,0.026094
4,0.017447,0.01981,0.00436175,0.0049525
16,0.030162,0.035786,0.001885125,0.002236625
64,0.026366,0.028598,0.00041196875,0.00044684375
256,0.026842,0.034375,0.0001048515625,0.00013427734375
1024,0.022615,0.074453,2.20849609375e-05,7.27080078125e-05
4096,0.019539,0.251752,4.770263671875e-06,6.1462890625e-05
16384,0.036959,0.911777,2.25579833984375e-06,5.565045166015625e-05
65536,0.037494,2.11456,5.72113037109375e-07,3.2265625e-05
1,0.031327,0.021318,0.031327,0.021318
4,0.039902,0.043006,0.0099755,0.0107515
16,0.024731,0.025279,0.0015456875,0.0015799375
64,0.028018,0.025759,0.00043778125,0.000402484375
256,0.025041,0.037226,9.781640625e-05,0.0001454140625
1024,0.021027,0.061889,2.05341796875e-05,6.04384765625e-05
4096,0.029579,0.211278,7.221435546875e-06,5.158154296875e-05
16384,0.037917,0.76552,2.31427001953125e-06,4.67236328125e-05
65536,0.032618,3.205126,4.97711181640625e-07,4.8906341552734374e-05
1,0.031047,0.02202,0.031047,0.02202
4,0.031646,0.037114,0.0079115,0.0092785
16,0.033036,0.024826,0.00206475,0.001551625
64,0.02502,0.029973,0.0003909375,0.000468328125
256,0.024647,0.037662,9.627734375e-05,0.0001471171875
1024,0.024976,0.069672,2.4390625e-05,6.80390625e-05
4096,0.020359,0.218117,4.970458984375e-06,5.3251220703125e-05
16384,0.029219,0.620514,1.78338623046875e-06,3.78731689453125e-05
65536,0.028109,2.328692,4.289093017578125e-07,3.553302001953125e-05
1,0.025534,0.019724,0.025534,0.019724
4,0.023614,0.025813,0.0059035,0.00645325
